name,vernacular_fr,rank,tsn,created_at,updated_at
Eurema lisa,petit coliade,espèce,778214,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Eurema mexicana,,espèce,777726,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Eurema nicippe,piéride orangée,espèce,778216,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Eurytides marcellus,,espèce,777694,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Everes amyntula,bleu porte-queue de l'ouest,espèce,778219,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Everes comyntas,bleu porte-queue de l'est,espèce,778220,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Feniseca tarquinius,,espèce,777787,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Fixsenia favonius,,espèce,777826,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Glaucopsyche lygdamus,bleu argenté,espèce,188519,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Glaucopsyche piasus,,espèce,777916,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Hemiargus isola,,espèce,778224,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Hesperia assiniboia,,espèce,706614,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Hesperia colorado,,espèce,706616,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Hesperia comma,hespérie laurentienne et hespérie boréale,espèce,188611,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Hesperia dacotae,,espèce,706618,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Hesperia juba,,espèce,706619,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Hesperia leonardus,hespérie de léonard,espèce,706620,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Hesperia nevada,,espèce,706625,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Hesperia ottoe,,espèce,706626,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Hesperia pahaska,,espèce,706627,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Hesperia sassacus,hespérie indienne,espèce,706628,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Hesperia uncas,,espèce,706629,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Hylephila phyleus,,espèce,117286,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Icaricia icarioides,,espèce,117245,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Icaricia lupini,,espèce,777929,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Icaricia shasta,,espèce,777927,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Junonia coenia,papillon ocellé,espèce,778049,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Leptotes marina,,espèce,777885,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Lerema accius,,espèce,706680,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Libytheana carinenta,papillon longs-palpes,espèce,777961,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Limenitis archippus,vice-roi,espèce,777969,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Limenitis arthemis,amiral,espèce,188603,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Limenitis lorquini,,espèce,777968,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Limenitis weidemeyerii,,espèce,777967,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Lycaeides idas,bleu nordique,espèce,778226,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Lycaeides melissa,bleu mélissa,espèce,778227,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Lycaena cuprea,,espèce,777789,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Lycaena dione,,espèce,777792,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Lycaena dorcas,cuivré de la potentille,espèce,188508,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Lycaena dospassosi,cuivré des marais salés,espèce,777799,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Lycaena epixanthe,cuivré des tourbières,espèce,188509,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Lycaena helloides,cuivré mauve,espèce,777800,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Lycaena heteronea,,espèce,777797,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Lycaena hyllus,bronzé,espèce,777798,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Lycaena mariposa,,espèce,777802,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Lycaena nivalis,,espèce,777801,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Lycaena phlaeas,cuivré d'amérique,espèce,777788,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Lycaena rubida,,espèce,777796,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Megisto cymela,petit satyre des bois,espèce,778120,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Nathalis iole,,espèce,777723,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Neominois ridingsii,,espèce,778140,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Neophasia menapia,,espèce,777770,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Nymphalis antiopa,morio,espèce,188597,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Nymphalis californica,,espèce,778040,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Nymphalis milberti,petite vanesse,espèce,188594,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Nymphalis vaualbum,grande vanesse,espèce,188593,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Oarisma garita,,espèce,706687,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Oarisma poweshiek,,espèce,706688,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Ochlodes sylvanoides,,espèce,706633,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Oeneis alberta,,espèce,778144,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Oeneis alpina,,espèce,778142,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Oeneis bore,nordique à nervures blanches,espèce,778143,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Oeneis chryxus,nordique orangé,espèce,188555,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Oeneis jutta,nordique des tourbières,espèce,188557,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Oeneis macounii,nordique de macoun,espèce,778146,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Oeneis melissa,nordique mélissa,espèce,188561,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Oeneis nevadensis,,espèce,778145,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Oeneis polixenes,nordique alpin,espèce,188560,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Oeneis rosovi,,espèce,778234,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Oeneis uhleri,,espèce,778147,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Panoquina ocola,,espèce,706561,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Papilio brevicauda,papillon queue-courte,espèce,188546,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Papilio canadensis,papillon tigré du canada,espèce,777710,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Papilio cresphontes,grand porte-queue,espèce,777702,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Papilio eurymedon,,espèce,777714,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Papilio glaucus,,espèce,188547,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Papilio indra,,espèce,777699,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Papilio machaon,machaon,espèce,777696,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Papilio multicaudatus,,espèce,777715,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Papilio polyxenes,papillon du céleri,espèce,188543,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Papilio rutulus,,espèce,777713,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Papilio troilus,,espèce,777719,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Papilio zelicaon,,espèce,777698,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Parnassius clodius,,espèce,777686,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Parnassius eversmanni,,espèce,777685,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Parnassius phoebus,,espèce,777687,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Parnassius smintheus,,espèce,777689,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Parrhasius m,album,espèce,777880,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Phoebis philea,,espèce,777753,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Phoebis sennae,,espèce,777750,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Pholisora catullus,hespérie fuligineuse,espèce,706772,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Phyciodes batesii,croissant fauve,espèce,778096,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Phyciodes cocyta,croissant nordique,espèce,778095,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Phyciodes mylitta,,espèce,778093,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Phyciodes pallidus,,espèce,778092,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Phyciodes pratensis,,espèce,779453,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Phyciodes tharos,croissant perlé,espèce,188584,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Pieris angelika,,espèce,777776,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Pieris marginalis,,espèce,777777,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Pieris oleracea,piéride des crucifères,espèce,777778,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Pieris rapae,piéride du chou,espèce,188541,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Pieris virginiensis,piéride de virginie,espèce,777779,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Plebejus saepiolus,,espèce,777924,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Poanes hobomok,hespérie hobomok,espèce,706637,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Poanes massasoit,hespérie des roseaux,espèce,706638,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Poanes viator,hespérie voyageuse,espèce,706641,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Poanes zabulon,hespérie de zabulon,espèce,706643,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Polites draco,,espèce,706646,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Polites mystic,hespérie mystique,espèce,706648,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Polites origenes,hespérie à ligne oblique,espèce,706649,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Polites peckius,hespérie de peck,espèce,706650,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Polites rhesus,,espèce,706651,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Polites sabuleti,,espèce,706652,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Polites sonora,,espèce,706653,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Polites themistocles,hespérie à tache costale,espèce,706655,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Polites vibex,,espèce,706656,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Polygonia comma,polygone virgule,espèce,778042,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Polygonia faunus,polygone à taches vertes,espèce,188589,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Polygonia gracilis,polygone gracile,espèce,188590,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Polygonia interrogationis,polygone à queue violacée,espèce,778041,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Polygonia oreas,,espèce,778043,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Polygonia progne,polygone gris,espèce,188591,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Polygonia satyrus,polygone satyre,espèce,188588,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Pompeius verna,hespérie à taches vitreuses,espèce,706657,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Pontia beckerii,,espèce,777780,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Pontia occidentalis,,espèce,777782,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Pontia protodice,piéride damier,espèce,777781,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Pontia sisymbrii,,espèce,777783,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Pyrgus centaureae,hespérie grisâtre,espèce,188605,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Pyrgus communis,,espèce,706775,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Pyrgus ruralis,,espèce,706778,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Pyrgus scriptura,,espèce,706779,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Satyrium acadicum,porte-queue d'acadie,espèce,777814,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Satyrium behrii,,espèce,777813,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Satyrium calanus,porte-queue du chêne,espèce,777819,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Satyrium californicum,,espèce,777815,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Satyrium caryaevorum,porte-queue du caryer,espèce,778252,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Satyrium edwardsii,porte-queue d'edwards,espèce,777818,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Satyrium fuliginosum,,espèce,777811,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Satyrium liparops,porte-queue à bandes brisées,espèce,777822,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Satyrium saepium,,espèce,777825,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Satyrium sylvinum,,espèce,777816,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Satyrium titus,porte-queue abrogé,espèce,777817,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Satyrodes appalachia,satyre des appalaches,espèce,778253,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Satyrodes eurydice,satyre ocellé,espèce,778254,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Speyeria aphrodite,argynne aphrodite,espèce,777992,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Speyeria atlantis,argynne de l'atlantique,espèce,188565,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Speyeria callippe,,espèce,777998,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Speyeria coronis,,espèce,777996,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Speyeria cybele,argynne cybèle,espèce,777991,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Speyeria edwardsii,,espèce,777995,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Speyeria hesperis,,espèce,778001,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Speyeria hydaspe,,espèce,778002,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Speyeria idalia,,espèce,777993,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Speyeria mormonia,,espèce,778003,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Speyeria zerene,,espèce,201285,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Staphylus hayhurstii,,espèce,706785,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Strymon melinus,porte-queue gris,espèce,117263,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Thorybes bathyllus,,espèce,706829,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Thorybes pylades,hespérie nuageuse,espèce,706834,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Thymelicus lineola,hespérie des graminées,espèce,188609,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Urbanus proteus,,espèce,117290,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Vacciniina optilete,,espèce,778259,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Vanessa annabella,,espèce,778036,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Vanessa atalanta,vulcain,espèce,188599,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Vanessa cardui,belle dame,espèce,188601,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Vanessa virginiensis,vanesse de virginie,espèce,188600,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Wallengrenia egeremet,hespérie verdâtre,espèce,706664,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Zerene cesonia,,espèce,777746,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Lepus americanus,lièvre d’amérique,espèce,180112,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Ursus americanus,ours noir,espèce,180544,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Erethizon dorsatus,porc-épic d’amérique,espèce,825295,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Alces alces,orignal,espèce,180703,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Odocoileus virginianus,cerf de virginie,espèce,180699,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Eriophorum virginicum,linaigrette de virginie,espèce,40105,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Sphagnum rubellum,sphaigne rouge,,548213,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
sphaigne verte,sphaigne verte,,,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Onoclea sensibilis,onoclée sensible,espèce,17637,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Lycopus uniflorus,lycope à une fleur,espèce,32257,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Typha angustifolia,typha à feuilles étroites,espèce,42325,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Juncus brevicaudatus,jonc brévicaude,espèce,39253,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Galium palustre,gaillet palustre,espèce,34903,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Carex echinata,carex étoilé,espèce,39582,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
pellie sp.,pellie sp.,,,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Viburnum opulus,viorne trilobée,espèce,35270,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Geum macrophyllum,benoîte à grandes feuilles,espèce,24654,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Thalictrum pubescens,pigamon pubescent,espèce,18678,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Anemonastrum canadense,anémone du canada,espèce,18436,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Caltha palustris,populage des marais,espèce,18454,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Impatiens capensis,impatiente du cap,espèce,29182,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Lycopus americanus,lycope d'amérique,espèce,32254,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Equisetum palustre,prêle des marais,espèce,17153,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Carex intumescens,carex gonflé,espèce,39403,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Eutrochium maculatum,eupatoire maculée,espèce,780333,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Sanguisorba canadensis,sanguisorbe du canada,espèce,25301,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Cardamine pensylvanica,cardamine de pennsylvanie,espèce,22772,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Myosotis laxa,myosotis laxiflore,espèce,31691,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Solanum dulcamara,morelle douce-amère,espèce,30414,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Clematis virginiana,clématite de virginie,espèce,18716,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Iris pseudacorus,iris faux-acore,espèce,43194,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Salix eriocephala,saule à tête laineuse,espèce,22528,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Betula pumila,bouleau nain,espèce,183525,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Calopogon tuberosus,calopogon tubéreux,espèce,43506,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Pogonia ophioglossoides,pogonie langue-de-serpent,espèce,43441,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Eriophorum angustifolium,linaigrette à feuilles étroites,espèce,40080,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Carex crinita,carex crépu,espèce,39388,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Scirpus atrocinctus,scirpe à ceinture noire,espèce,40243,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Glyceria canadensis,glycérie du canada,espèce,798450,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Carex stipata,carex stipité,espèce,527159,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Juncus effusus,jonc épars,espèce,39232,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Potentilla norvegica,potentille de norvège,espèce,24730,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Viola,violette sp.,genre,22030,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Thelypteris palustris,thélyptère des marais,espèce,17251,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Carex pauciflora,carex pauciflore,espèce,39743,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Salix nigra,saule noir,espèce,22484,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Vicia cracca,vesce jargeau,espèce,26335,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Equisetum fluviatile,prêle fluviatile,espèce,17150,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Scirpus atrovirens,scirpe noirâtre,espèce,40227,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Potentilla anserina,potentille ansérine,espèce,24687,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Sagittaria latifolia,sagittaire à larges feuilles,espèce,38908,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Zizania palustris,zizanie des marais,espèce,530918,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Vitis riparia,vigne des rivages,espèce,28624,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Solidago canadensis,verge d'or du canada,espèce,36224,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Plantago major,plantain majeur,espèce,32887,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Carex lacustris,carex lacustre,espèce,39409,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Lysimachia thyrsiflora,lysimache thyrsiflore,espèce,24000,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Eupatorium perfoliatum,eupatoire perfoliée,espèce,35980,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Asclepias incarnata,asclépiade incarnate,espèce,30241,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Scutellaria galericulata,scutellaire à feuilles d'épilobe,espèce,540512,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Lysimachia terrestris,lysimaque terrestre,espèce,23985,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Trillium undulatum,trille ondulé,espèce,43092,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Polygonatum pubescens,sceau-de-salomon pubescent,espèce,43007,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Coptis trifolia,savoyane,espèce,18767,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Osmundastrum cinnamomeum,osmonde cannelle,espèce,1012094,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Dennstaedtia punctilobula,dennstaedtie à lobules ponctués,espèce,17491,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Lycopodium obscurum,lycopode obscur,espèce,17032,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Lycopodium clavatum,lycopode claviforme,espèce,17024,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Rubus repens,dalibarde rampante,espèce,520495,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Pteridium aquilinum,fougère-aigle,espèce,17224,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Medeola virginiana,médéole de virginie,espèce,42963,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Monotropa uniflora,monotrope uniflore,espèce,23778,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Epigaea repens,épigée rampante,espèce,23646,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Osmunda claytoniana,osmonde de clayton,espèce,17220,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Betula glandulosa,bouleau glanduleux,espèce,19485,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Ptilium crista-castrensis,hypne plumeuse,espèce,16320,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Bryophyta,mousse,espèce,14189,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Sphagnaceae,sphaigne,espèce,15682,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
