name,vernacular_fr,rank,tsn,created_at,updated_at
Aralia nudicaulis,aralie à tige nue,espèce,29376,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Arisaema triphyllum,arisème petit-prêcheur,espèce,42525,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Aronia melanocarpa,aronie à fruits noirs,espèce,25127,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Eurybia macrophylla,aster à grandes feuilles,espèce,513449,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Vaccinium angustifolium,bleuet à feuilles étroites,espèce,23579,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Vaccinium myrtilloides,bleuet fausse-myrtille,espèce,23604,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Calamagrostis canadensis,calamagrostide du canada,espèce,40544,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Vaccinium oxycoccos,canneberge commune,espèce,505635,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Carex,carex,genre,39369,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Carex canescens,carex blanchâtre,espèce,39447,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Carex magellanica,carex chétif,espèce,501242,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Carex limosa,carex des bourbiers,espèce,39674,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Carex oligosperma,carex oligosperme,espèce,39729,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Carex stricta,carex raide,espèce,39435,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Carex trisperma,carex trisperme,espèce,39853,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Carex utriculata,carex utriculé,espèce,501288,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Chamaedaphne calyculata,cassandre caliculé,espèce,23637,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Lonicera canadensis,chèvrefeuille du canada,espèce,35282,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Rubus chamaemorus,chicouté,espèce,24850,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Claytonia caroliniana,claytonie de caroline,espèce,20385,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Clintonia borealis,clintonie boréale,espèce,42903,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Comarum palustre,comaret des marais,espèce,501615,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Cypripedium acaule,cypripède acaule,espèce,43534,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Dicentra canadensis,dicentre du canada,espèce,18943,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Drosera rotundifolia,droséra à feuilles rondes,espèce,22017,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Dryopteris carthusiana,dryoptère spinuleuse,espèce,502157,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Erythronium americanum,érythrone d'amérique,espèce,196365,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Fragaria vesca,fraisier des bois,espèce,24634,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Galium,gaillet,genre,34796,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Gymnocarpium dryopteris,gymnocarpe du chêne,espèce,17579,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Taxus canadensis,if du canada,espèce,194885,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Iris versicolor,iris versicolore,espèce,43196,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Kalmia polifolia,kalmia à feuilles d'andromède,espèce,23679,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Kalmia angustifolia,kalmia à feuilles étroites,espèce,503278,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Eriophorum vaginatum,linaigrette à large gaine,espèce,40104,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Huperzia lucidula,lycopode brillant,espèce,503079,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Maianthemum canadense,maïanthème du canada,espèce,503653,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Triadenum fraseri,millepertuis de fraser,espèce,21473,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Myrica gale,myrique baumier,espèce,19265,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Ilex mucronata,némopanthe mucroné,espèce,835359,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Corylus cornuta,noisetier à long bec,espèce,19507,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Oxalis montana,oxalide de montagne,espèce,29090,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Gaultheria procumbens,petit thé,espèce,23657,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Phegopteris connectilis,phégoptère du hêtre,espèce,504295,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Pilea pumila,piléa nain,espèce,19130,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Platanthera blephariglottis,platanthère à gorge frangée,espèce,43419,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Cornus canadensis,quatre-temps,espèce,27816,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Rhododendron canadense,rhododendron du canada,espèce,23711,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Rhynchospora alba,rhynchospore blanc,espèce,40151,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Rubus pubescens,ronce pubescente,espèce,25028,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Sarracenia purpurea,sarracénie pourpre,espèce,21993,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Salix pyrifolia,saule baumier,espèce,22575,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Maianthemum racemosum,smilacine à grappes,espèce,503655,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Maianthemum trifolium,smilacine trifoliée,espèce,503657,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Spiraea alba,spirée à larges feuilles,espèce,25329,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Spiraea tomentosa,spirée tomenteuse,espèce,25342,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Streptopus amplexifolius,streptope à feuilles embrassantes,espèce,43044,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Streptopus lanceolatus,streptope rose,espèce,507878,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Sambucus racemosa,sureau rouge,espèce,35326,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Rhododendron groenlandicum,thé du labrador,espèce,520050,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Trichophorum cespitosum,trichophore cespiteux,espèce,508143,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Trientalis borealis,trientale boréale,espèce,24053,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Trillium erectum,trille rouge,espèce,43070,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Viburnum lantanoides,viorne bois-d'orignal,espèce,35265,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Viburnum nudum,viorne cassinoïde,espèce,35252,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Achalarus lyciades,,espèce,706794,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Agraulis vanillae,,espèce,777975,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Agriades glandon,bleu arctique,espèce,778186,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Amblyscirtes hegon,hespérie poivrée,espèce,706576,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Amblyscirtes oslari,,espèce,706580,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Amblyscirtes simius,,espèce,706583,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Amblyscirtes vialis,hespérie violacée,espèce,706586,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Anatrytone logan,hespérie à logan,espèce,707256,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Ancyloxypha numitor,hespérie délicate,espèce,706668,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Anthocharis sara,,espèce,777758,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Anthocharis stella,,espèce,778526,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Apodemia mormo,,espèce,201268,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Ascia monuste,,espèce,777784,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Asterocampa celtis,papillon du microcoulier,espèce,778004,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Asterocampa clyton,,espèce,778006,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Atalopedes campestris,sachem,espèce,706589,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Atrytonopsis hianna,,espèce,706596,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Battus philenor,,espèce,777692,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Boloria alberta,,espèce,777987,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Boloria astarte,,espèce,777988,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Boloria bellona,boloria des prés,espèce,188580,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Boloria epithore,,espèce,777986,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Boloria eunomia,boloria des tourbières,espèce,188570,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Boloria freija,boloria de freya,espèce,188575,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Boloria frigga,boloria nordique,espèce,188577,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Boloria improba,boloria terne,espèce,777984,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Boloria napaea,,espèce,778194,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Boloria natazhati,,espèce,777989,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Boloria polaris,boloria polaire,espèce,188576,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Boloria selene,boloria à taches argentées,espèce,188567,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Callophrys affinis,,espèce,777837,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Callophrys augustinus,lutin brun,espèce,188501,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Callophrys barryi,,espèce,778747,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Callophrys eryphon,lutin du pin gris,espèce,777854,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Callophrys grynea,porte-queue vedâtre,espèce,777841,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Callophrys henrici,lutin des bleuets,espèce,777852,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Callophrys irus,lutin givré,espèce,777851,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Callophrys johnsoni,,espèce,777848,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Callophrys lanoraieensis,lutin des tourbières,espèce,777853,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Callophrys mossii,,espèce,201261,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Callophrys niphon,lutin des pins,espèce,188504,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Callophrys polia,lutin grisâtre,espèce,777850,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Callophrys rosneri,,espèce,778748,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Callophrys sheridanii,,espèce,777839,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Callophrys spinetorum,,espèce,777847,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Calpodes ethlius,,espèce,117280,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Calycopis cecrops,,espèce,777860,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Carterocephalus palaemon,échiquier,espèce,188607,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Celastrina ladon,azur printanier du nord,espèce,777893,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Celastrina neglecta,asur estival,espèce,777896,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Celastrina,,genre,188522,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Cercyonis oetus,,espèce,778125,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Cercyonis pegala,satyre des prés,espèce,778122,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Cercyonis sthenele,,espèce,778124,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Chlosyne acastus,,espèce,778076,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Chlosyne damoetas,,espèce,778079,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Chlosyne gorgone,damier gorgone,espèce,778071,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Chlosyne harrisii,damier de harris,espèce,188582,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Chlosyne hoffmanni,,espèce,778074,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Chlosyne nycteis,damier argenté,espèce,778070,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Chlosyne palla,,espèce,778078,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Coenonympha nipisiquit,satyre fauve des maritimes,espèce,779475,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Coenonympha tullia,satyre fauve,espèce,778111,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Colias alexandra,,espèce,777737,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Colias canadensis,,espèce,777741,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Colias chippewa,,espèce,188534,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Colias christina,,espèce,777736,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Colias eurytheme,coliade de la luzerne,espèce,188528,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Colias gigantea,,espèce,777744,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Colias hecla,coliade orangé,espèce,188527,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Colias interior,coliade intérieur,espèce,188530,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Colias johanseni,,espèce,777740,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Colias meadii,,espèce,777739,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Colias nastes,coliade verdâtre,espèce,188535,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Colias occidentalis,,espèce,777735,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Colias pelidne,coliade commun du nord,espèce,188531,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Colias philodice,coliade du trèfle,espèce,188529,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Colias tyche,coliade de booth,espèce,777742,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Danaus plexippus,monarque,espèce,117273,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Enodia anthedon,satyre perlé,espèce,778207,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Epargyreus clarus,hespérie à taches argentées,espèce,117282,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Erebia anyuica,,espèce,778138,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Erebia disa,,espèce,188563,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Erebia discoidalis,alpin à disque rouge,espèce,778134,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Erebia epipsodea,alpin commun,espèce,778133,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Erebia fasciata,,espèce,778132,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Erebia lafontainei,,espèce,778137,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Erebia mackinleyensis,,espèce,778131,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Erebia magdalena,,espèce,778130,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Erebia mancinus,alpin à ocelles rouges,espèce,778129,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Erebia pawlowskii,,espèce,778148,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Erebia rossii,alpin de ross,espèce,778128,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Erebia vidleri,,espèce,778127,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Erebia youngi,,espèce,778136,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Erora laeta,lutin mystérieux,espèce,777882,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Erynnis afranius,,espèce,706738,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Erynnis baptisiae,,espèce,706739,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Erynnis brizo,,espèce,706740,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Erynnis funeralis,,espèce,706741,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Erynnis horatius,,espèce,706742,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Erynnis icelus,hespérie givrée,espèce,706743,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Erynnis juvenalis,hespérie du chêne,espèce,706744,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Erynnis lucilius,hespérie de l'ancolie,espèce,706745,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Erynnis martialis,hespérie tachetée,espèce,706746,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Erynnis pacuvius,,espèce,706748,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Erynnis persius,hespérie persius,espèce,706749,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
